Languages	EFGIS							
								
Screen	PHRASE TABLE	SPACE	E	F	G	I	S	NOTES
	TERM	CRITICAL	ENGLISH	FRENCH	GERMAN	ITALIAN	SPANISH	
								
COMMON	0		0	0	0	???	0	*** Do not translate! ***
COMMON	1		1	1	1	???	1	*** Do not translate! ***
COMMON	2		2	2	2	???	2	*** Do not translate! ***
COMMON	3		3	3	3	???	3	*** Do not translate! ***
COMMON	4		4	4	4	???	4	*** Do not translate! ***
COMMON	5		5	5	5	???	5	*** Do not translate! ***
COMMON	6		6	6	6	???	6	*** Do not translate! ***
COMMON	7		7	7	7	???	7	*** Do not translate! ***
COMMON	8		8	8	8	???	8	*** Do not translate! ***
COMMON	9		9	9	9	???	9	*** Do not translate! ***
COMMON	1ST		1st	1er	1	???	1º	
COMMON	2ND		2nd	2ème	2	???	2º	
COMMON	3RD		3rd	3ème	3	???	3º	
COMMON	4TH		4th	4ème	4	???	4º	
COMMON	ORDINAL_1ST		st	 	 	???	 	
COMMON	ORDINAL_2ND		nd	 	 	???	 	
COMMON	ORDINAL_3RD		rd	 	 	???	 	
COMMON	ORDINAL_4TH		th	 	 	???	 	
COMMON	SLASH		/	/	/	???	/	*** Do not translate! ***
COMMON	COLON		:	:	:	???	:	*** Do not translate! ***
COMMON	DASH		-	-	-	???	-	*** Do not translate! ***
COMMON	SPACE		 	 	 	???	 	*** Do not translate! ***
COMMON	ACCEPT		Accept	Accepter	Annahme	???	Aceptar	
COMMON	BACK		Back	Retour	Zurück	???	Atrás	
COMMON	BUY		Buy	Acheter	Kaufen	???	Comprar	
COMMON	PURCHASE		Purchase	Achat	Erwerben	???	Compra	
COMMON	SELECT		Select	Sélectionner	Auswählen	???	Seleccionar	
COMMON	CHANGE		Change	Modifier	Ändern	???	Cambiar	
COMMON	START		Start	Jouer	Starten	???	Empezar	
COMMON	SKIP		SKIP	PASSER	ÜBERSPRINGEN	???	SALTAR	
COMMON	CONTINUE		Continue	Continuer	Weiter	???	Continuar	
COMMON	CONTINUE_WITHOUT_SAVE		Continue Without Saving	Continuer sans sauvegarder	Fortfahren ohne zu speichern	???	Continuar sin guardar	
COMMON	CONTINUE_WITHOUT_FORMAT		Continue Without Format	Continuer sans formater	Fortfahren ohne zu formatieren	???	Continuar sin formatear	
COMMON	DELETE		Delete File	Effacer le fichier	File löschen	???	Eliminar archivo	
COMMON	CANCEL		Cancel	Annuler	Abbrechen	???	Cancelar	
COMMON	QUIT		Quit	Quitter	Beenden	???	Salir	
COMMON	RETRY		Retry	Recommencer	Wiederholen	???	Reintentar	
COMMON	YES		YES	OUI	JA	???	SÍ	
COMMON	NO		NO	NON	NEIN	???	NO	
COMMON	OK		OK	OK	OK	???	Aceptar	
COMMON	LOAD		Load	Charger	Laden	???	Cargar	
COMMON	SAVE		Save	Sauvegarder	Speichern	???	Guardar	
COMMON	FORMAT		Format	Formater	Formatieren	???	Formatear	
COMMON	FORMAT_GC		Format Memory Card	Formater la Memory Card (carte mémoire)	Memory Card (Speicherkarte) formatieren	???	Formatear la Memory Card (tarjeta de memoria)	
COMMON	FORMAT_PS2		Format	Formater	Formatieren	???	Formatear	
COMMON	FORMAT_XBOX		Format	Formater	Formatieren	???	Formatear	
COMMON	MANAGE_MEM_CARD_GC		Manage Memory Card	Gérer la Memory Card (carte mémoire)	Memory Card (Speicherkarte) verwalten	???	Reorganizar la Memory Card (tarjeta de memoria)	
COMMON	ON		On	On	Ein	???	Activado	
COMMON	OFF		Off	Off	Aus	???	Desactivado	
COMMON	AUTO		Auto	Auto	Auto	???	Automático	
COMMON	LEVEL_1		LEVEL 1	NIVEAU 1	LEVEL 1	???	NIVEL 1	
COMMON	LEVEL_2		LEVEL 2	NIVEAU 2	LEVEL 2	???	NIVEL 2	
COMMON	LEVEL_3		LEVEL 3	NIVEAU 3	LEVEL 3	???	NIVEL 3	
COMMON	LEVEL_4		LEVEL 4	NIVEAU 4	LEVEL 4	???	NIVEL 4	
COMMON	LEVEL_5		LEVEL 5	NIVEAU 5	LEVEL 5	???	NIVEL 5	
COMMON	LEVEL_6		LEVEL 6	NIVEAU 6	LEVEL 6	???	NIVEL 6	
COMMON	LEVEL_7		LEVEL 7	NIVEAU 7	LEVEL 7	???	NIVEL 7	
COMMON	LEVEL_ABBREVIATION		L	N	L	???	N	
COMMON	MISSION_ABBREVIATION		M	M	M	???	M	
COMMON	TUTORIAL_ABBREVIATION		TUT	DID	TUT	???	TUT	
COMMON	NOT_AVAILABLE		( N/A )	(ND)	(N/V)	???	(N/A)	
SKINS	HOMER		Homer - Normal	Homer - Normal	Homer - Normal	???	Homer - Normal	
SKINS	H_FAT		Homer - Muumuu	Homer - Muumuu	Homer - Muumuu	???	Homer - Muumuu	
SKINS	H_DONUT		Homer - Donut	Homer - Beignet	Homer - Donut	???	Homer - Donut	
SKINS	H_STCROBE		Homer - Chosen One	Homer - Elu	Homer - Der Erwählte	???	Homer - El elegido	
SKINS	H_UNDRWR		Homer - Casual	Homer - Standard	Homer - Leger	???	Homer - Informal	
SKINS	H_SCUZZY		Homer - Dirty	Homer - Crado	Homer - Schmutzig	???	Homer - Sucio	
SKINS	H_EVIL		Homer - Evil	Homer - Maléfique	Homer - Böse	???	Homer - Malo	
SKINS	BART		Bart - Normal	Bart - Normal	Bart - Normal	???	Bart - Normal	
SKINS	B_MAN		Bart - Bartman	Bart - Bartman	Bart - Bartman	???	Bart - Bartman	
SKINS	B_MILITARY		Bart - Cadet	Bart - Militaire	Bart - Kadett	???	Bart - Cadete	
SKINS	B_NINJA		Bart - Ninja	Bart - Ninja	Bart - Ninja	???	Bart -Ninja	
SKINS	B_FOOTBALL		Bart - Football	Bart - Footballeur	Bart - Football	???	Bart - Fútbol	
SKINS	B_TALL		Bart - Tall	Bart - Grand	Bart - Groß	???	Bart - Alto	
SKINS	B_HUGO		Bart - Hugo	Bart - Hugo	Bart - Hugo	???	Bart - Hugo	
SKINS	LISA		Lisa - Normal	Lisa - Normale	Lisa - Normal	???	Lisa - Normal	
SKINS	L_COOL		Lisa - Cool	Lisa - Cool	Lisa - Cool	???	Lisa - Guay	
SKINS	L_JERSEY		Lisa - Hockey	Lisa - Hockey	Lisa - Hockey	???	Lisa - Hockey	
SKINS	L_FLORIDA		Lisa - Floreda	Lisa - Floreda	Lisa - Floreda	???	Lisa - Floreada	
SKINS	MARGE		Marge - Normal	Marge - Normale	Marge - Normal	???	Marge - Normal	
SKINS	M_POLICE		Marge - Police	Marge - Police	Marge - Polizei	???	Marge - Policía	
SKINS	M_PRISON		Marge - Inmate	Marge - Prison	Marge - Gefängnisinsassin	???	Marge - Presidiaria	
SKINS	M_PINK		Marge - Classy	Marge - Classe	Marge - Aufgemotzt	???	Marge - Elegante	
SKINS	APU		Apu - Normal	Apu - Normal	Apu - Normal	???	Apu - Normal	
SKINS	A_AMERICAN		Apu - American	Apu - Américain	Apu - Amerikaner	???	Apu - Americano	
SKINS	A_ARMY		Apu - Army	Apu - Armée	Apu - Armee	???	Apu - Ejército	
SKINS	A_BESHARP		Apu - B-sharps	Apu - B-sharp	Apu - Sänger	???	Apu - B-sharps	
VEHICLES	AMBUL		Ambulance	Ambulance	Notarztwagen	???	Ambulancia	
VEHICLES	APU_V		Longhorn	Cornu	Longhorn	???	Longhorn	
VEHICLES	ATV_V		ATV	VTT	ATV	???	Todo terreno	
VEHICLES	BART_V		Ferrini - Red	Ferrini - Rouge	Ferrini - Rot	???	Ferrini rojo	
VEHICLES	BBMAN_V		El Carro Loco	El Carro Loco	El Carro Loco	???	El carro loco	
VEHICLES	BOOKB_V		Book Burning Van	Van Brûle Livre	Bücherverbrennungsmobil	???	Furgoneta quemalibros	
VEHICLES	BURNS_V		36 Stutz Bearcat	36 Stutz Bearcat	36 Stutz Bearcat	???	Stutz Bearcat del 36	
VEHICLES	BURNSARM		Burns Armored Truck	Camion blindé de Burns	Burns' Panzerwagen	???	El camión blindado de Burns	
VEHICLES	CARHOM_V		Car Built For Homer	Voiture faite pour Homer	Von Homer entworfenes Auto	???	Coche hecho de encargo para Homer	
VEHICLES	CARMOR		Armored Truck	Camion blindé	Panzerwagen	???	Camión blindado	
VEHICLES	CBLBART		Ferrini - Black	Ferrini - Noire	Ferrini - Schwarz	???	Ferrini negro	
VEHICLES	CCELLA		Cell Phone Car A	Voiture téléphone A	Handy - Auto A	???	Coche con móvil A	
VEHICLES	CCELLB		Cell Phone Car B	Voiture téléphone B	Handy - Auto B	???	Coche con móvil B	
VEHICLES	CCELLC		Cell Phone Car C	Voiture téléphone C	Handy - Auto C	???	Coche con móvil C	
VEHICLES	CCELLD		Cell Phone Car D	Voiture téléphone D	Handy - Auto D	???	Coche con móvil D	
VEHICLES	CCOLA		Cola Truck	Camion de cola	Cola-Laster	???	Camión de cola	
VEHICLES	CCUBE		Cube Van	Van cube	Geschlossener Van	???	Furgoneta de cubo	
VEHICLES	CCURATOR		Curator	Voiture du conservateur	Kurator	???	Coche del guarda jurado	
VEHICLES	CDONUT		Donut Truck	Camion de beignets	Donut-Laster	???	Camión de donuts	
VEHICLES	CDUFF		Duff Truck	Camion de Duff	Duff-Laster	???	Camión de Duff	
